Name,Address,City,State,Zip,County,Phone,Administrator,Licensee,Facility Number,Type,Status,Capacity,License Date,GPO
"BRETHREN HILLCREST HOMES","2705 MOUNTAIN VIEW DRIVE","LA VERNE",CA,91750,"LOS ANGELES","(909) 593-4917","KEITH KASIN","BRETHREN HILLCREST HOMES",191501662,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,574,7/2/1976,"Premier"
"VENTURA TOWNEHOUSE","4900 TELEGRAPH ROAD","VENTURA",CA,93003,"VENTURA","(805) 642-3263","EVAN GRANUCCI","PACIFIC VIEW OF VENTURA, INC.",565801810,"RESIDENTIAL CARE ELDERLY",LICENSED,566,10/5/2012,"Premier"
"FREDERICKA MANOR","183 THIRD AVENUE","CHULA VISTA",CA,91910,"SAN DIEGO","(619) 205-4100","BEN GESKE","FRONT PORCH COMMUNITIES AND SERVICES",374603402,"RESIDENTIAL CARE ELDERLY",LICENSED,560,10/29/2014,"Premier"
"VALLE VERDE","900 CALLE DE LOS AMIGOS","SANTA BARBARA",CA,93105,"SANTA BARBARA","(805) 883-4193","SUSAN E PONCE","HUMANGOOD & HUMANGOOD NORCAL",421700411,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,547,9/17/1993,"Premier"
"FREEDOM VILLAGE","23442 EL TORO ROAD","LAKE FOREST",CA,92630,"ORANGE","(949) 472-4733","HRAG H BEKERIAN","MURPHY,N.,SHEAM,G.,KUBICKA,C.,KUBICKA,L.,FPW,LLC",300606831,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,533,7/23/1987,"Premier"
"MOUNT SAN ANTONIO GARDENS","900 EAST HARRISON AVENUE","POMONA",CA,91767,"LOS ANGELES","(909) 624-5061","JOYCE FREMPONG","CONGREGATIONAL HOMES, INCORPORATED",191500496,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,520,1/4/1993,"None"
"ATHERTON BAPTIST HOMES","214 SOUTH ATLANTIC BLVD.","ALHAMBRA",CA,91801,"LOS ANGELES","(626) 289-4178","ANGELA LEE","ATHERTON BAPTIST HOMES",197802543,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,518,3/31/1999,"Premier, Vizient"
"UNIVERSITY VILLAGE THOUSAND OAKS","3415 CAMPUS DRIVE","THOUSAND OAKS",CA,91360,"VENTURA","(805) 241-3000","DMITRY ESTRIN","UNIV. VLG. T. OAKS CCRC LLC",565800978,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,514,9/24/2007,"Vizient"
"WESLEY PALMS","2404 LORING STREET","SAN DIEGO",CA,92109,"SAN DIEGO","(858) 274-4110","JUSTIN WEBER","FRONT PORCH COMMUNITIES AND SERVICES",374600800,"RESIDENTIAL CARE ELDERLY",LICENSED,511,2/2/2000,"Premier"
"ESKATON VILLAGE","3939 WALNUT AVE","CARMICHAEL",CA,95608,"SACRAMENTO","(916) 974-2000","RIST, ALICIA","ESKATON; ESKATON PROPERTIES INC",340313383,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,500,3/23/1992,"Premier"
"UNIVERSITY RETIREMENT COMMUNITY AT DAVIS","1515 SHASTA DRIVE","DAVIS",CA,95616,"YOLO","(530) 747-7000","MARIA BURTON","UNIVER RETIRE COM AT DAVIS/PACIFIC RETIRE SERVICES",577001215,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,500,2/18/2000,"Premier, Vizient"
"O'CONNOR WOODS ASSISTED LIVING","3334 WAGNER HEIGHTS RD","STOCKTON",CA,95209,"SAN JOAQUIN","(209) 956-3400","LEAL-MALLETE, PENNY","O'CONNOR WOODS HOUSING; ESKATON PROPERTIES INC",390314809,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,499,8/14/1991,"None"
"WISTERIA WARNER CENTER LLC","5500 CANOGA AVENUE","WOODLAND HILLS",CA,91367,"LOS ANGELES","(760) 704-6300","SPIEKER E. WARREN III","WISTERIA WARNER CENTER CCRC LLC",197609993,"RESIDENTIAL CARE ELDERLY",PENDING,497,,"None"
"GLEN AT HEATHER FARM WALNUT CREEK CCRC LLC, THE","850 SEVEN HILLS RANCH ROAD","WALNUT CREEK",CA,94598,"CONTRA COSTA","(760) 704-6300","JR. SPIEKER, WARREN E.","DIABLO GLEN WALNUT CREEK CCRC",79201073,"RESIDENTIAL CARE ELDERLY",PENDING,480,,"None"
"TERRACES OF LOS GATOS, THE","800 BLOSSOM HILL ROAD","LOS GATOS",CA,95032,"SANTA CLARA","(408) 356-1006","PETER MORRIS","HUMANGOOD & HUMANGOOD NORCAL",430708817,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,458,12/22/1992,"Premier"
"PILGRIM PLACE IN CLAREMONT","625 MAYFLOWER ROAD","CLAREMONT",CA,91711,"LOS ANGELES","(909) 399-5500","RICHARD RODAS","PILGRIM PLACE IN CLAREMONT, INC.",197607628,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,454,1/16/2009,"Vizient"
"VILLAGE, THE","2200 WEST ACACIA","HEMET",CA,92545,"RIVERSIDE","(951) 766-5116","ROB TAKAMI","FREEDOM PROPERTIES HEMET, LLC.",336403573,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,452,9/18/2000,"None"
"VARIEL OF WOODLAND HILLS, THE","6233 VARIEL AVE","WOODLAND HILLS",CA,91367,"LOS ANGELES","(818) 651-6018","LOURDES BUSTAMANTE","SBLP WARNER CENTER OPCO,LLC;MOMENTUM SENIOR LIVING",195850240,"RESIDENTIAL CARE ELDERLY",LICENSED,436,7/1/2022,"None"
"COVENANT LIVING AT MOUNT MIGUEL","325 KEMPTON STREET","SPRING VALLEY",CA,91977,"SAN DIEGO","(619) 479-4790","RICHARD MILLER","COVENANT LIVING WEST",370800394,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,435,4/9/1993,"Vizient"
"PENINSULA REGENT (THE)","1 BALDWIN AVENUE","SAN MATEO",CA,94401,"SAN MATEO","(650) 579-5500","MARTIN HERTER","BASS INC; PACIFIC RETIREMENT SERVICES INC",410508359,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,435,12/15/1988,"Premier, Vizient"
"VIVANTE ON THE COAST","1640 & 1650 MONROVIA AVE","COSTA MESA",CA,92627,"ORANGE","(949) 629-2100","ROBERT FIORENTINO II","VIVANTE WESTSIDE LLC; INTEGRAL SENIOR LIVING MGT",306004582,"RESIDENTIAL CARE ELDERLY",LICENSED,430,10/10/2013,"Vizient"
"GROSSMONT GARDENS SENIOR LIVING","5480 MARENGO AVE","LA MESA",CA,91942,"SAN DIEGO","(619) 463-0281","TORINO, LYNN","VISTA LA MESA SENIOR LIVING, INC.",374604675,"RESIDENTIAL CARE ELDERLY",LICENSED,425,5/4/2023,"Premier"
"SARATOGA RETIREMENT COMMUNITY","14500 FRUITVALE AVENUE","SARATOGA",CA,95070,"SANTA CLARA","(408) 741-7100","SARAH STEL","ODD FELLOWS HOME OF CA; GRAND LODGE; PRS MGMT INC",435201057,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,418,7/31/2002,"Premier, Vizient"
"CALIFORNIA ARMENIAN HOME","6720 E KINGS CANYON RD","FRESNO",CA,93727,"FRESNO","(559) 251-8414","PAUL ROCHA","CALIFORNIA HOME FOR THE AGED INC",100400070,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,412,3/20/1985,"Vizient"
"WOODLAND HILLS LIFE PLAN COMMUNITY","23200 W MULHOLLAND DR","WOODLAND HILLS",CA,91364,"LOS ANGELES","(515) 875-4739","TBD","MULHOLLAND SL OPERATING GP LLC; LIFE CARE SERVICES",195850329,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",PENDING,402,,"None"
"ENSO VILLAGE, A KENDAL AFFILIATE","1801 BOXHEART DRIVE","HEALDSBURG",CA,95448,"SONOMA","(925) 366-3414","ANNET NAKIYUKA","KENDAL AT SONOMA, A ZEN INSPIRED COMMUNITY",496803820,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,400,11/3/2023,"None"
"IL VILLAGGIO AT SAN LUIS OBISPO","LOS OSOS VALLEY ROAD","SAN LUIS OBISPO",CA,93401,"SAN LUIS OBISPO","(805) 996-0580","TBD","II VILLAGGIO AT SAN LUIS OBISPO LLC LIFE CARE SERV",405802282,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",PENDING,400,,"None"
"SEQUOIAS SAN FRANCISCO (THE)","1400 GEARY BLVD","SAN FRANCISCO",CA,94109,"SAN FRANCISCO","(415) 922-9700","GLEN GODDARD","SEQUOIA LIVING, INC.",380500593,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,400,5/21/1975,"None"
"REGENTS POINT","19191 HARVARD AVENUE","IRVINE",CA,92612,"ORANGE","(949) 854-9500","FORNEY, MELINDA M","HUMANGOOD & HUMANGOOD SOCAL",300603257,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,399,2/23/1982,"Premier, Vizient"
"COVENANT LIVING AT THE SAMARKAND","2550 TREASURE DRIVE","SANTA BARBARA",CA,93105,"SANTA BARBARA","(805) 687-0701","MARJAN ALBERT","COVENANT LIVING WEST",421702848,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,379,4/6/1993,"Vizient"
"COVENANT LIVING OF TURLOCK","2125 N OLIVE AVENUE","TURLOCK",CA,95382,"STANISLAUS","(209) 632-9976","RYAN HUST","COVENANT LIVING WEST",500301453,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,377,6/19/1989,"Vizient"
"ACACIA CREEK - UNION CITY","34400 MISSION BLVD.","UNION CITY",CA,94587,"ALAMEDA","(510) 441-3700","CHUCK MAJOR","MASONIC HOMES CAL & ACACIA CREEK, MASONIC SEN LIV",15601302,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,376,5/20/2010,"Premier"
"BROOKDALE RIVERWALK","350 CALLOWAY DR","BAKERSFIELD",CA,93312,"KERN","(661) 587-0221","TOOMER, JEFFREY","BLC GLENWOOD-GARDENS AL-LH; BROOKDALE LIVING COMMS",157203395,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,376,6/26/2006,"Premier, Vizient"
"CASA DORINDA","300 HOT SPRINGS RD.","SANTA BARBARA",CA,93108,"SANTA BARBARA","(805) 969-8011","BRIAN MCCAGUE","MONTECITO RETIREMENT ASSOCIATION",421700160,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,360,10/31/1993,"Vizient"
"CLAREMONT MANOR","650 W. HARRISON AVE.","CLAREMONT",CA,91711,"LOS ANGELES","(909) 626-1227","ROBERT BARTON","FRONT PORCH COMMUNITIES AND SERVICES",198601672,"RESIDENTIAL CARE ELDERLY",LICENSED,360,7/11/2013,"Premier"
"MEADOWS OF NAPA VALLEY, THE","1800 ATRIUM PARKWAY","NAPA",CA,94559,"NAPA","(707) 257-7885","KRISTINE MORROW","ODD FELLOWS HOME OF CALIFORNIA; PRS MGMT INC",286801070,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,350,7/31/2002,"Premier"
"SAN FRANCISCO TOWERS","1661 PINE STREET","SAN FRANCISCO",CA,94109,"SAN FRANCISCO","(415) 776-0500","MARK NITSCHE","FRONT PORCH COMMUNITIES AND SERVICES",380540292,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,350,10/31/1997,"Premier, Vizient"
"COVINGTON, THE","3 PURSUIT","ALISO VIEJO",CA,92656,"ORANGE","(949) 389-8500","DONALD CASH BENTON","EPISCOPAL COMMUNITIES & SERVICES FOR SENIORS",306002255,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,343,5/20/2004,"None"
"SAN DIMAS RETIREMENT CENTER","834 WEST ARROW HIGHWAY","SAN DIMAS",CA,91773,"LOS ANGELES","(909) 599-8441","PRISCILLA GAYTAN","SAN DIMAS RETIREMENT, LLC",191500609,"RESIDENTIAL CARE ELDERLY",LICENSED,343,2/18/1988,"None"
"TAMALPAIS","501 VIA CASITAS","GREENBRAE",CA,94904,"MARIN","(415) 461-2300","TUMBALE, TERENCE","SEQUOIA LIVING, INC.",210102761,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,341,6/1/1988,"None"
"VILLA GARDENS","842 EAST VILLA STREET","PASADENA",CA,91101,"LOS ANGELES","(626) 796-8162","SHAUN RUSHFORTH","FRONT PORCH COMMUNITIES AND SERVICES",197602345,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,340,6/30/1999,"Premier"
"GRACE RETIREMENT VILLAGE","1100 E. WHITTIER BLVD.","LA HABRA",CA,90631,"ORANGE","(562) 694-6515","MICHELLE SONG","GRACE RETIREMENT VILLAGE, INC",306090049,"RESIDENTIAL CARE ELDERLY",LICENSED,340,2/25/2022,"Premier"
"GRACE RETIREMENT VILLAGE","1100 E WHITTIER BLVD","LA HABRA",CA,90631,"ORANGE","(562) 694-6515","AGAS, VIRGILIO","GRACE RETIRMENT VILLAGE INC",306006640,"RESIDENTIAL CARE ELDERLY",PENDING,340,,"None"
"WALNUT VILLAGE","891 WALNUT STREET","ANAHEIM",CA,92802,"ORANGE","(714) 776-7150","DEBORAH INFIELD","FRONT PORCH COMMUNITIES AND SERVICES",306000961,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,334,6/30/1999,"Premier, Vizient"
"MERRILL GARDENS AT SANTA MARIA","1220 SUEY ROAD","SANTA MARIA",CA,93454,"SANTA BARBARA","(805) 928-2662","MICHAEL EASBEY","MG AT SANTA MARIA, LP ; SHI-IV MERRILL GP, LLC ; M",425850140,"RESIDENTIAL CARE ELDERLY",LICENSED,330,9/10/2021,"Premier, Vizient"
"SEQUOIAS-PORTOLA VALLEY, THE","501 PORTOLA ROAD","PORTOLA VALLEY",CA,94028,"SAN MATEO","(650) 851-1501","SUZANNE WASLEY-FAIRLEY","SEQUOIA LIVING, INC.",410500567,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,328,11/5/1985,"None"
"TOWN & COUNTRY","555 E. MEMORY LANE","SANTA ANA",CA,92706,"ORANGE","(714) 547-7581","SARA MODUGNO","CHRISTIAN AND MISSIONARY ALLIANCE",300600977,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,328,12/5/1975,"Premier"
"ATRIA EL CAMINO GARDENS","2426 GARFIELD AVE","CARMICHAEL",CA,95608,"SACRAMENTO","(916) 488-5722","STANSEL, DANA","WG EL CAMINO GARDENS SH LP; ATRIA MANAGEMENT CO",347000389,"RESIDENTIAL CARE ELDERLY",LICENSED,325,10/31/1995,"Vizient"
"VARENNA AT FOUNTAINGROVE","1401 FOUNTAINGROVE PKWY","SANTA ROSA",CA,95403,"SONOMA","(707) 526-1226","BUOT, FERDINAND","VARENNA LLC, GALLAHER SR LVG; WELLQUEST LIVING LLC",496803049,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,322,5/2/2008,"Premier, Vizient"
"SAVANT OF WOODLAND HILLS","21711 VENTURA BLVD","WOODLAND HILLS",CA,91364,"LOS ANGELES","(818) 999-2610","SIDNEY, KEVAN","WOODLAND HILLS OPERATIONS LLC",195850546,"RESIDENTIAL CARE ELDERLY",LICENSED,322,12/31/2024,"None"
"PIEDMONT GARDENS #1","110-41ST STREET","OAKLAND",CA,94611,"ALAMEDA","(510) 654-7172","WITTMAN, DANIEL","HUMANGOOD & HUMANGOOD NORCAL",11400514,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,321,3/25/1993,"Premier"
"ST. PAUL'S TOWERS","100 BAY PLACE","OAKLAND",CA,94610,"ALAMEDA","(510) 835-4700","YUEN, CONNIE","FRONT PORCH COMMUNITIES AND SERVICES",11400627,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,320,8/14/1985,"Premier"
"MORNINGSTAR OF PASADENA","951 S. FAIR OAKS AVENUE","PASADENA",CA,91105,"LOS ANGELES","(626) 204-1700","TALIAFERRO, KEVIN","OLYMPIC SENIOR CARE LLC:MORNINGSTAR MGT SNR LLC",198603416,"RESIDENTIAL CARE ELDERLY",LICENSED,310,9/23/2021,"Premier"
"IVY AT WELLINGTON, THE","24903 MOULTON PARKWAY","LAGUNA HILLS",CA,92653,"ORANGE","(949) 458-2311","VADNAIS, GERRY","WELL OAK TENANT LLC;OAKMONT MANAGEMENT GROUP LLC",306006222,"RESIDENTIAL CARE ELDERLY",LICENSED,305,6/7/2023,"None"
"PLYMOUTH VILLAGE OF REDLANDS","900 SALEM DRIVE","REDLANDS",CA,92373,"SAN BERNARDINO","(909) 793-1233","MICHAEL HARRISON","HUMANGOOD & HUMANGOOD NORCAL",360904812,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,303,2/24/1981,"Premier"
"ELLORE SENIOR LIVING","2350 CALLE DE LUNA","SANTA CLARA",CA,95054,"SANTA CLARA","(408) 755-6868","AQUINO, JOYCE","TASMAN ASL OPCO TENANT LLC;OAKMONT MGMT. GROUP LLC",435202961,"RESIDENTIAL CARE ELDERLY",LICENSED,303,3/19/2025,"None"
"MONTECEDRO","2212 EL MOLINO AVE","ALTADENA",CA,91001,"LOS ANGELES","(626) 788-4900","WEIDERT, DAVID","EPISCOPAL COMMUNITIES & SERVICES FOR SENIORS",197610430,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,300,7/31/2023,"Vizient"
"VIAMONTE AT WALNUT CREEK","2801 SHADELANDS DRIVE","WALNUT CREEK",CA,94598,"CONTRA COSTA","(925) 954-2600","MELODY MITCHELL ALLEN","SEQUOIA LIVING INC",79201006,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,300,12/1/2020,"Vizient"
"PASEA, THE","1420 E. PALOMAR STREET","CHULA VISTA",CA,91913,"SAN DIEGO","(619) 591-0600","SANO, MARIA","1420 PALOMAR, LLC; INTEGRAL SENIOR LIVING MGMT LLC",374604968,"RESIDENTIAL CARE ELDERLY",PENDING,300,,"None"
"REAL CARE LLC","818 REAL RD","BAKERSFIELD",CA,93309,"KERN","(661) 760-7610","PELAYA, JESSICA","LJN CAPITAL LLC DBA REAL CARE",157209417,"RESIDENTIAL CARE ELDERLY",LICENSED,300,5/9/2025,"None"
"ST. PAUL'S PLAZA","1420 E PALOMAR STREET","CHULA VISTA",CA,91913,"SAN DIEGO","(619) 591-0600","STRATMAN, KIM","ST. PAUL'S EPIS HOME, INC; INTEG SEN LVNG MGMT LLC",374603643,"RESIDENTIAL CARE ELDERLY",LICENSED,300,7/21/2015,"None"
"VISTA DEL MAR SENIOR LIVING","3360 MAGNOLIA AVENUE","LONG BEACH",CA,90806,"LOS ANGELES","(562) 595-1559","SUZETTE S. JOHNSON","3360 MAGNOLIA AVE., INC.",197608029,"RESIDENTIAL CARE ELDERLY",LICENSED,300,10/11/2010,"Premier"
"WHITE SANDS LA JOLLA","7450 OLIVETAS AVE","LA JOLLA",CA,92037,"SAN DIEGO","(858) 454-4201","SMART, SHELLY","HUMANGOOD & HUMANGOOD SOCAL",372000641,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,299,8/30/1974,"Premier"
"EMERALD COURT","1731 MEDICAL CENTER","ANAHEIM",CA,92801,"ORANGE","(714) 778-5100","DAIZEL C GASPERIAN","KRC ANAHEIM, & KISCO SENIOR LIVING, LLC",306001407,"RESIDENTIAL CARE ELDERLY",LICENSED,299,12/6/2001,"Premier, Vizient"
"KINGSLEY MANOR","1055 NORTH KINGSLEY DRIVE","LOS ANGELES",CA,90029,"LOS ANGELES","(323) 661-1128","LIYON O'QUINN","FRONT PORCH COMMUNITIES AND SERVICES",197608482,"RESIDENTIAL CARE ELDERLY",LICENSED,299,7/12/2013,"Premier"
"INLAND CHRISTIAN HOME, INC","1950 SOUTH MOUNTAIN AVENUE","ONTARIO",CA,91762,"SAN BERNARDINO","(909) 983-0084","MARY WOLFF","INLAND CHRISTIAN HOME, INC",360902944,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,297,2/20/1994,"Premier"
"HACIENDA MISSION SAN LUIS REY, THE","4000 MISSION AVE","OCEANSIDE",CA,92057,"SAN DIEGO","(520) 797-4000","PEREZ, MARIANO","MISSION SAN LUIS REY LLC; WATERMARK RETIREMENT",374604717,"RESIDENTIAL CARE ELDERLY",LICENSED,294,9/1/2023,"Premier"
"CYPRESS COURT ESCONDIDO","1255 N. BROADWAY","ESCONDIDO",CA,92026,"SAN DIEGO","(760) 747-1940","ROB JOHNSTON","KRC ESCONDIDO, LP; NORTHSTAR SENIOR LIVING,INC.",374600378,"RESIDENTIAL CARE ELDERLY",LICENSED,293,7/12/1996,"Premier"
"AVOCET AT PLAYA VISTA","12490 FIELDING CIRCLE","PLAYA VISTA",CA,90094,"LOS ANGELES","(424) 216-7788","MCGEVNA, KEITH M","HSH PLAYA MANAGEMENT CA LLC; SRG PLAYA MGMT LLC",198320478,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,286,10/1/2024,"Premier"
"SILVERGATE RANCHO BERNARDO","16061 AVENIDA VENUSTO","SAN DIEGO",CA,92128,"SAN DIEGO","(858) 451-1100","BRAKEVILLE, SONDRA","AMERICARE HEALTH & RETIREMENT, INC.",374604323,"RESIDENTIAL CARE ELDERLY",LICENSED,285,6/18/2020,"Premier"
"ROWNTREE GARDENS","12151 DALE STREET","STANTON",CA,90680,"ORANGE","(714) 530-9100","CLAUDIA LUSCA-BORCSA","CALIFORNIA FRIENDS HOMES, INC.",300600816,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,280,7/11/1982,"None"
"BROOKDALE UPTOWN WHITTIER","13250 E PHILADELPHIA ST","WHITTIER",CA,90601,"LOS ANGELES","(562) 945-3904","PRECIOSA (SUZIE) MAGPAYO","SUMMERVILLE AT COBBCO INC; EMERITUS CORPORATION",198601778,"RESIDENTIAL CARE ELDERLY",LICENSED,280,7/31/2014,"Premier, Vizient"
"SAMARITAN VILLAGE","7700 FOX ROAD","HUGHSON",CA,95326,"STANISLAUS","(209) 883-3000","RIKKI PEREZCHICA","HUGHSON SAMARITAN VILLAGE",507002396,"RESIDENTIAL CARE ELDERLY",LICENSED,277,9/9/2003,"Premier, Vizient"
"LAKES, THE","5801 SUN LAKES BLVD","BANNING",CA,92220,"RIVERSIDE","(915) 845-2220","MATSUSHITA, LORI","LAKES SENIOR LIVING, LLC, THE",335530266,"RESIDENTIAL CARE ELDERLY",LICENSED,276,1/22/2025,"None"
"LAKE PARK SENIOR LIVING","1850 ALICE STREET","OAKLAND",CA,94612,"ALAMEDA","(510) 835-5511","KORFHAGE, KIRSTEN","LAKE MERRITT SENIOR LIVING LLC;CALSON CARE OAKLAND",19201182,"RCFE-CONTINUING CARE RETIREMENT COMMUNITY",LICENSED,275,12/6/2022,"Premier"
"EISENBERG VLG OF THE LA JEWISH HOME FOR THE AGING","18855 VICTORY BOULEVARD","RESEDA",CA,91335,"LOS ANGELES","(818) 774-3000","GLASS, KATHLEEN K.","EISENBERG VLG OF THE LA JEWISH HOME FOR THE AGING",191201867,"RESIDENTIAL CARE ELDERLY",LICENSED,271,9/3/1977,"None"
